Experiment,Sigma,E2,Einf,TPR,PDE
0,0.0,0.003737742136765476,0.003737742136765476,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,1.0,0.0035585146746053287,0.0035585146746053287,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,2.0,0.0033256830826593475,0.0033256830826593475,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,3.0,0.002782652500868066,0.002782652500868066,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,4.0,0.001582025117235597,0.001582025117235597,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,5.0,0.0022487665147661318,0.0022487665147661318,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,6.0,0.0005662164282628224,0.0005662164282628224,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,7.0,0.0008391717903249996,0.0008391717903249996,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,8.0,0.00289456108112518,0.00289456108112518,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,9.0,0.0036806720060368336,0.0036806720060368336,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,10.0,0.007805192445284104,0.007805192445284104,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,11.0,0.008557391565811812,0.008557391565811812,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,12.0,0.009119984868594666,0.009119984868594666,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,13.0,0.011674276418730756,0.011674276418730756,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,14.0,0.013214585350424968,0.013214585350424968,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,15.0,0.018143149791644886,0.018143149791644886,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
1,16.0,0.022837266638167986,0.022837266638167986,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
1,17.0,0.027275324881799956,0.027275324881799956,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,18.0,0.033089974452904736,0.033089974452904736,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,19.0,0.03426154572747209,0.03426154572747209,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,20.0,0.03463134926216038,0.03463134926216038,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,21.0,0.04260450476070221,0.04260450476070221,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
1,22.0,0.04990986376679196,0.04990986376679196,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
1,23.0,0.050990287319832794,0.050990287319832794,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
1,24.0,0.05432422857120811,0.05432422857120811,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
1,25.0,0.06543853943701894,0.06543853943701894,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
1,26.0,0.06879952355687313,0.06879952355687313,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
1,27.0,0.07109298132296016,0.07109298132296016,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
1,28.0,0.08466681710460844,0.08466681710460844,1.0,ζ_t = (-0.92)∇•(ζ𝘂)
1,29.0,0.08742356789788963,0.08742356789788963,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
1,30.0,0.09974593098550055,0.09974593098550055,1.0,ζ_t = (-0.90)∇•(ζ𝘂)
1,31.0,0.1021368075547695,0.1021368075547695,1.0,ζ_t = (-0.90)∇•(ζ𝘂)
1,32.0,0.1158863077620167,0.1158863077620167,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
1,33.0,0.1253364000126267,0.1253364000126267,1.0,ζ_t = (-0.87)∇•(ζ𝘂)
1,34.0,0.13442790611334499,0.13442790611334499,1.0,ζ_t = (-0.87)∇•(ζ𝘂)
1,35.0,0.14220222561257134,0.14220222561257134,1.0,ζ_t = (-0.86)∇•(ζ𝘂)
1,36.0,0.1449100397826223,0.1449100397826223,1.0,ζ_t = (-0.86)∇•(ζ𝘂)
1,37.0,0.15955729174045274,0.15955729174045274,1.0,ζ_t = (-0.84)∇•(ζ𝘂)
1,38.0,0.166624551848498,0.166624551848498,1.0,ζ_t = (-0.83)∇•(ζ𝘂)
1,39.0,0.18419931296505554,0.18419931296505554,1.0,ζ_t = (-0.82)∇•(ζ𝘂)
1,40.0,0.1880683692154057,0.1880683692154057,1.0,ζ_t = (-0.81)∇•(ζ𝘂)
2,1.0,0.003822130041117866,0.003822130041117866,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,2.0,0.003433014486579067,0.003433014486579067,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,3.0,0.0031667837894180373,0.0031667837894180373,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,4.0,0.00250938623608854,0.00250938623608854,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,5.0,0.0017229844954420592,0.0017229844954420592,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,6.0,8.49031711185333e-05,8.49031711185333e-05,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,7.0,0.0010942800911440953,0.0010942800911440953,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,8.0,0.003922401089832439,0.003922401089832439,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
2,9.0,0.005751272989455547,0.005751272989455547,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
2,10.0,0.006712736400089736,0.006712736400089736,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
2,11.0,0.010322620733472898,0.010322620733472898,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
2,12.0,0.01051854777338046,0.01051854777338046,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
2,13.0,0.012474979634626737,0.012474979634626737,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
2,14.0,0.016359611281152597,0.016359611281152597,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
2,15.0,0.019799943756688032,0.019799943756688032,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
2,16.0,0.022849388065028786,0.022849388065028786,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
2,17.0,0.02534012462169699,0.02534012462169699,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
2,18.0,0.028899847422000247,0.028899847422000247,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
2,19.0,0.0344863412982892,0.0344863412982892,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
2,20.0,0.03626207644924295,0.03626207644924295,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
2,21.0,0.043296793543665224,0.043296793543665224,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
2,22.0,0.04960804029381094,0.04960804029381094,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
2,23.0,0.0586706796040819,0.0586706796040819,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
2,24.0,0.058376653442111404,0.058376653442111404,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
2,25.0,0.06406566971538519,0.06406566971538519,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
2,26.0,0.07019640334460486,0.07019640334460486,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
2,27.0,0.07122832232388099,0.07122832232388099,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
2,28.0,0.08620015252625468,0.08620015252625468,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
2,29.0,0.08895393453667899,0.08895393453667899,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
2,30.0,0.0942466305733709,0.0942466305733709,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
2,31.0,0.11002572654568588,0.11002572654568588,1.0,ζ_t = (-0.89)∇•(ζ𝘂)
2,32.0,0.11309332662245697,0.11309332662245697,1.0,ζ_t = (-0.89)∇•(ζ𝘂)
2,33.0,0.11990060554746762,0.11990060554746762,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
2,34.0,0.13144940777879377,0.13144940777879377,1.0,ζ_t = (-0.87)∇•(ζ𝘂)
2,35.0,0.14316010505086618,0.14316010505086618,1.0,ζ_t = (-0.86)∇•(ζ𝘂)
2,36.0,0.14759845068552335,0.14759845068552335,1.0,ζ_t = (-0.85)∇•(ζ𝘂)
2,37.0,0.16695769018554185,0.16695769018554185,1.0,ζ_t = (-0.83)∇•(ζ𝘂)
2,38.0,0.1699584219553565,0.1699584219553565,1.0,ζ_t = (-0.83)∇•(ζ𝘂)
2,39.0,0.17906600884551038,0.17906600884551038,1.0,ζ_t = (-0.82)∇•(ζ𝘂)
2,40.0,0.1924708456522919,0.1924708456522919,1.0,ζ_t = (-0.81)∇•(ζ𝘂)
3,1.0,0.003576518228204817,0.003576518228204817,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,2.0,0.003110361867156186,0.003110361867156186,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,3.0,0.0026910887532010097,0.0026910887532010097,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,4.0,0.0018159439328120364,0.0018159439328120364,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,5.0,0.001742755774562621,0.001742755774562621,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,6.0,0.00036394110369819543,0.00036394110369819543,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,7.0,0.0007469879444260696,0.0007469879444260696,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,8.0,0.0036583862846294446,0.0036583862846294446,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,9.0,0.0035043257882009238,0.0035043257882009238,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
3,10.0,0.00547163003554707,0.00547163003554707,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
3,11.0,0.007380096980856288,0.007380096980856288,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
3,12.0,0.0098105154898811,0.0098105154898811,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
3,13.0,0.013308481984750764,0.013308481984750764,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
3,14.0,0.014045694745963178,0.014045694745963178,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
3,15.0,0.020251730048445826,0.020251730048445826,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
